ID,Date,Kilowatt
33,2021-02-03 00:00:00 -> 2021-02-03 23:55:00,120.18
34,2021-02-04 00:00:00 -> 2021-02-04 23:55:00,120.00
35,2021-02-05 00:00:00 -> 2021-02-05 23:55:00,120.82
36,2021-02-06 00:00:00 -> 2021-02-06 23:55:00,120.00
37,2021-02-07 00:00:00 -> 2021-02-07 23:55:00,120.00
38,2021-02-08 00:00:00 -> 2021-02-08 23:55:00,121.00
39,2021-02-09 00:00:00 -> 2021-02-09 23:55:00,120.00
40,2021-02-10 00:00:00 -> 2021-02-10 23:55:00,120.00
41,2021-02-11 00:00:00 -> 2021-02-11 23:55:00,121.00
42,2021-02-12 00:00:00 -> 2021-02-12 23:55:00,122.32
43,2021-02-13 00:00:00 -> 2021-02-13 23:55:00,118.00
44,2021-02-14 00:00:00 -> 2021-02-14 23:55:00,114.68
45,2021-02-15 00:00:00 -> 2021-02-15 23:55:00,114.00
46,2021-02-16 00:00:00 -> 2021-02-16 23:55:00,113.32
47,2021-02-17 00:00:00 -> 2021-02-17 23:55:00,114.00
48,2021-02-18 00:00:00 -> 2021-02-18 23:55:00,113.00
49,2021-02-19 00:00:00 -> 2021-02-19 23:55:00,113.00
50,2021-02-20 00:00:00 -> 2021-02-20 23:55:00,112.00
51,2021-02-21 00:00:00 -> 2021-02-21 23:55:00,113.00
52,2021-02-22 00:00:00 -> 2021-02-22 23:55:00,113.00
53,2021-02-23 00:00:00 -> 2021-02-23 23:55:00,113.00
54,2021-02-24 00:00:00 -> 2021-02-24 23:55:00,114.00
55,2021-02-25 00:00:00 -> 2021-02-25 23:55:00,113.33
56,2021-02-26 00:00:00 -> 2021-02-26 23:55:00,113.33
57,2021-02-27 00:00:00 -> 2021-02-27 23:55:00,113.34
58,2021-02-28 00:00:00 -> 2021-02-28 23:55:00,113.00
59,2021-03-01 00:00:00 -> 2021-03-01 23:55:00,114.00
60,2021-03-02 00:00:00 -> 2021-03-02 23:55:00,114.34
61,2021-03-03 00:00:00 -> 2021-03-03 23:55:00,114.66
62,2021-03-04 00:00:00 -> 2021-03-04 23:55:00,114.65
63,2021-03-05 00:00:00 -> 2021-03-05 23:55:00,114.00
64,2021-03-06 00:00:00 -> 2021-03-06 23:55:00,113.35
65,2021-03-07 00:00:00 -> 2021-03-07 23:55:00,114.65
66,2021-03-08 00:00:00 -> 2021-03-08 23:55:00,113.64
67,2021-03-09 00:00:00 -> 2021-03-09 23:55:00,114.00
68,2021-03-10 00:00:00 -> 2021-03-10 23:55:00,114.00
69,2021-03-11 00:00:00 -> 2021-03-11 23:55:00,114.00
70,2021-03-12 00:00:00 -> 2021-03-12 23:55:00,113.64
71,2021-03-13 00:00:00 -> 2021-03-13 23:55:00,112.64
72,2021-03-14 00:00:00 -> 2021-03-14 23:55:00,113.00
73,2021-03-15 00:00:00 -> 2021-03-15 23:55:00,113.36
74,2021-03-16 00:00:00 -> 2021-03-16 23:55:00,114.00
75,2021-03-17 00:00:00 -> 2021-03-17 23:55:00,113.74
76,2021-03-18 00:00:00 -> 2021-03-18 23:55:00,113.73
77,2021-03-19 00:00:00 -> 2021-03-19 23:55:00,112.73
78,2021-03-20 00:00:00 -> 2021-03-20 23:55:00,113.73
79,2021-03-21 00:00:00 -> 2021-03-21 23:55:00,113.73
80,2021-03-22 00:00:00 -> 2021-03-22 23:55:00,114.00
81,2021-03-23 00:00:00 -> 2021-03-23 23:55:00,115.27
82,2021-03-24 00:00:00 -> 2021-03-24 23:55:00,114.27
83,2021-03-25 00:00:00 -> 2021-03-25 23:55:00,115.00
84,2021-03-26 00:00:00 -> 2021-03-26 23:55:00,115.00
85,2021-03-27 00:00:00 -> 2021-03-27 23:55:00,114.00
86,2021-03-28 00:00:00 -> 2021-03-28 23:55:00,109.00
87,2021-03-29 00:00:00 -> 2021-03-29 23:55:00,114.41
88,2021-03-30 00:00:00 -> 2021-03-30 23:55:00,113.00
89,2021-03-31 00:00:00 -> 2021-03-31 23:55:00,111.59
90,2021-04-01 00:00:00 -> 2021-04-01 23:55:00,112.59
91,2021-04-02 00:00:00 -> 2021-04-02 23:55:00,112.59
92,2021-04-03 00:00:00 -> 2021-04-03 23:55:00,114.00
93,2021-04-04 00:00:00 -> 2021-04-04 23:55:00,112.41
94,2021-04-05 00:00:00 -> 2021-04-05 23:55:00,113.41
95,2021-04-06 00:00:00 -> 2021-04-06 23:55:00,114.00
96,2021-04-07 00:00:00 -> 2021-04-07 23:55:00,115.00
97,2021-04-08 00:00:00 -> 2021-04-08 23:55:00,115.41
98,2021-04-09 00:00:00 -> 2021-04-09 23:55:00,115.00
99,2021-04-10 00:00:00 -> 2021-04-10 23:55:00,114.59
100,2021-04-11 00:00:00 -> 2021-04-11 23:55:00,113.00
101,2021-04-12 00:00:00 -> 2021-04-12 23:55:00,115.00
102,2021-04-13 00:00:00 -> 2021-04-13 23:55:00,114.41
103,2021-04-14 00:00:00 -> 2021-04-14 23:55:00,114.41
104,2021-04-15 00:00:00 -> 2021-04-15 23:55:00,114.00
105,2021-04-16 00:00:00 -> 2021-04-16 23:55:00,114.59
106,2021-04-17 00:00:00 -> 2021-04-17 23:55:00,114.00
107,2021-04-18 00:00:00 -> 2021-04-18 23:55:00,114.41
108,2021-04-19 00:00:00 -> 2021-04-19 23:55:00,112.00
109,2021-04-20 00:00:00 -> 2021-04-20 23:55:00,108.59
110,2021-04-21 00:00:00 -> 2021-04-21 23:55:00,119.44
111,2021-04-22 00:00:00 -> 2021-04-22 23:55:00,142.00
112,2021-04-23 00:00:00 -> 2021-04-23 23:55:00,141.15
113,2021-04-24 00:00:00 -> 2021-04-24 23:55:00,141.85
114,2021-04-25 00:00:00 -> 2021-04-25 23:55:00,141.85
115,2021-04-26 00:00:00 -> 2021-04-26 23:55:00,142.00
116,2021-04-27 00:00:00 -> 2021-04-27 23:55:00,141.99
117,2021-04-28 00:00:00 -> 2021-04-28 23:55:00,143.00
118,2021-04-29 00:00:00 -> 2021-04-29 23:55:00,142.01
119,2021-04-30 00:00:00 -> 2021-04-30 23:55:00,142.00
120,2021-05-01 00:00:00 -> 2021-05-01 23:55:00,142.01
121,2021-05-02 00:00:00 -> 2021-05-02 23:55:00,143.00
122,2021-05-03 00:00:00 -> 2021-05-03 23:55:00,143.99
123,2021-05-04 00:00:00 -> 2021-05-04 23:55:00,143.99
124,2021-05-05 00:00:00 -> 2021-05-05 23:55:00,143.00
125,2021-05-06 00:00:00 -> 2021-05-06 23:55:00,144.00
126,2021-05-07 00:00:00 -> 2021-05-07 23:55:00,143.00
127,2021-05-08 00:00:00 -> 2021-05-08 23:55:00,141.00
128,2021-05-09 00:00:00 -> 2021-05-09 23:55:00,142.00
129,2021-05-10 00:00:00 -> 2021-05-10 23:55:00,143.00
130,2021-05-11 00:00:00 -> 2021-05-11 23:55:00,143.00
131,2021-05-12 00:00:00 -> 2021-05-12 23:55:00,144.00
132,2021-05-13 00:00:00 -> 2021-05-13 23:55:00,144.68
133,2021-05-14 00:00:00 -> 2021-05-14 23:55:00,144.00
134,2021-05-15 00:00:00 -> 2021-05-15 23:55:00,143.99
135,2021-05-16 00:00:00 -> 2021-05-16 23:55:00,143.67
136,2021-05-17 00:00:00 -> 2021-05-17 23:55:00,143.00
137,2021-05-18 00:00:00 -> 2021-05-18 23:55:00,143.67
138,2021-05-19 00:00:00 -> 2021-05-19 23:55:00,144.00
139,2021-05-20 00:00:00 -> 2021-05-20 23:55:00,142.33
140,2021-05-21 00:00:00 -> 2021-05-21 23:55:00,143.33
141,2021-05-22 00:00:00 -> 2021-05-22 23:55:00,144.00
142,2021-05-23 00:00:00 -> 2021-05-23 23:55:00,143.74
143,2021-05-24 00:00:00 -> 2021-05-24 23:55:00,143.00
144,2021-05-25 00:00:00 -> 2021-05-25 23:55:00,143.39
145,2021-05-26 00:00:00 -> 2021-05-26 23:55:00,145.00
146,2021-05-27 00:00:00 -> 2021-05-27 23:55:00,143.00
147,2021-05-28 00:00:00 -> 2021-05-28 23:55:00,143.00
148,2021-05-29 00:00:00 -> 2021-05-29 23:55:00,144.00
149,2021-05-30 00:00:00 -> 2021-05-30 23:55:00,144.77
150,2021-05-31 00:00:00 -> 2021-05-31 23:55:00,144.00
151,2021-06-01 00:00:00 -> 2021-06-01 23:55:00,144.00
152,2021-06-02 00:00:00 -> 2021-06-02 23:55:00,143.71
153,2021-06-03 00:00:00 -> 2021-06-03 23:55:00,145.71
154,2021-06-04 00:00:00 -> 2021-06-04 23:55:00,148.00
155,2021-06-05 00:00:00 -> 2021-06-05 23:55:00,144.71
156,2021-06-06 00:00:00 -> 2021-06-06 23:55:00,144.00
157,2021-06-07 00:00:00 -> 2021-06-07 23:55:00,144.29
158,2021-06-08 00:00:00 -> 2021-06-08 23:55:00,144.99
159,2021-06-09 00:00:00 -> 2021-06-09 23:55:00,146.00
160,2021-06-10 00:00:00 -> 2021-06-10 23:55:00,145.32
161,2021-06-11 00:00:00 -> 2021-06-11 23:55:00,145.32
162,2021-06-12 00:00:00 -> 2021-06-12 23:55:00,147.00
163,2021-06-13 00:00:00 -> 2021-06-13 23:55:00,145.68
164,2021-06-14 00:00:00 -> 2021-06-14 23:55:00,144.68
165,2021-06-15 00:00:00 -> 2021-06-15 23:55:00,145.19
166,2021-06-16 00:00:00 -> 2021-06-16 23:55:00,147.19
167,2021-06-17 00:00:00 -> 2021-06-17 23:55:00,145.00
168,2021-06-18 00:00:00 -> 2021-06-18 23:55:00,146.00
169,2021-06-19 00:00:00 -> 2021-06-19 23:55:00,146.19
170,2021-06-20 00:00:00 -> 2021-06-20 23:55:00,147.00
171,2021-06-21 00:00:00 -> 2021-06-21 23:55:00,143.81
172,2021-06-22 00:00:00 -> 2021-06-22 23:55:00,147.00
173,2021-06-23 00:00:00 -> 2021-06-23 23:55:00,145.00
174,2021-06-24 00:00:00 -> 2021-06-24 23:55:00,148.00
175,2021-06-25 00:00:00 -> 2021-06-25 23:55:00,147.00
176,2021-06-26 00:00:00 -> 2021-06-26 23:55:00,147.19
177,2021-06-27 00:00:00 -> 2021-06-27 23:55:00,151.00
178,2021-06-28 00:00:00 -> 2021-06-28 23:55:00,150.00
179,2021-06-29 00:00:00 -> 2021-06-29 23:55:00,150.19
180,2021-06-30 00:00:00 -> 2021-06-30 23:55:00,148.00
181,2021-07-01 00:00:00 -> 2021-07-01 23:55:00,149.00
182,2021-07-02 00:00:00 -> 2021-07-02 23:55:00,153.00
183,2021-07-03 00:00:00 -> 2021-07-03 23:55:00,151.00
184,2021-07-04 00:00:00 -> 2021-07-04 23:55:00,147.81
185,2021-07-05 00:00:00 -> 2021-07-05 23:55:00,148.00
186,2021-07-06 00:00:00 -> 2021-07-06 23:55:00,150.00
187,2021-07-07 00:00:00 -> 2021-07-07 23:55:00,150.00
188,2021-07-08 00:00:00 -> 2021-07-08 23:55:00,160.00
189,2021-07-09 00:00:00 -> 2021-07-09 23:55:00,159.89
190,2021-07-10 00:00:00 -> 2021-07-10 23:55:00,156.56
191,2021-07-11 00:00:00 -> 2021-07-11 23:55:00,160.04
192,2021-07-12 00:00:00 -> 2021-07-12 23:55:00,155.26
193,2021-07-13 00:00:00 -> 2021-07-13 23:55:00,153.26
194,2021-07-14 00:00:00 -> 2021-07-14 23:55:00,153.00
195,2021-07-15 00:00:00 -> 2021-07-15 23:55:00,153.74
196,2021-07-16 00:00:00 -> 2021-07-16 23:55:00,155.00
197,2021-07-17 00:00:00 -> 2021-07-17 23:55:00,154.26
198,2021-07-18 00:00:00 -> 2021-07-18 23:55:00,156.26
199,2021-07-19 00:00:00 -> 2021-07-19 23:55:00,155.00
200,2021-07-20 00:00:00 -> 2021-07-20 23:55:00,156.00
201,2021-07-21 00:00:00 -> 2021-07-21 23:55:00,156.00
202,2021-07-22 00:00:00 -> 2021-07-22 23:55:00,167.00
203,2021-07-23 00:00:00 -> 2021-07-23 23:55:00,161.59
204,2021-07-24 00:00:00 -> 2021-07-24 23:55:00,161.00
205,2021-07-25 00:00:00 -> 2021-07-25 23:55:00,159.00
206,2021-07-26 00:00:00 -> 2021-07-26 23:55:00,173.59
207,2021-07-27 00:00:00 -> 2021-07-27 23:55:00,164.41
208,2021-07-28 00:00:00 -> 2021-07-28 23:55:00,162.00
209,2021-07-29 00:00:00 -> 2021-07-29 23:55:00,158.59
210,2021-07-30 00:00:00 -> 2021-07-30 23:55:00,159.59
211,2021-07-31 00:00:00 -> 2021-07-31 23:55:00,165.41
212,2021-08-01 00:00:00 -> 2021-08-01 23:55:00,167.00
213,2021-08-02 00:00:00 -> 2021-08-02 23:55:00,158.00
214,2021-08-03 00:00:00 -> 2021-08-03 23:55:00,158.41
215,2021-08-04 00:00:00 -> 2021-08-04 23:55:00,159.00
216,2021-08-05 00:00:00 -> 2021-08-05 23:55:00,156.00
217,2021-08-06 00:00:00 -> 2021-08-06 23:55:00,159.00
218,2021-08-07 00:00:00 -> 2021-08-07 23:55:00,159.49
219,2021-08-08 00:00:00 -> 2021-08-08 23:55:00,161.00
220,2021-08-09 00:00:00 -> 2021-08-09 23:55:00,160.00
221,2021-08-10 00:00:00 -> 2021-08-10 23:55:00,165.48
222,2021-08-11 00:00:00 -> 2021-08-11 23:55:00,172.00
223,2021-08-12 00:00:00 -> 2021-08-12 23:55:00,174.00
224,2021-08-13 00:00:00 -> 2021-08-13 23:55:00,168.00
225,2021-08-14 00:00:00 -> 2021-08-14 23:55:00,169.00
226,2021-08-15 00:00:00 -> 2021-08-15 23:55:00,168.48
227,2021-08-16 00:00:00 -> 2021-08-16 23:55:00,165.47
228,2021-08-17 00:00:00 -> 2021-08-17 23:55:00,168.00
229,2021-08-18 00:00:00 -> 2021-08-18 23:55:00,164.00
230,2021-08-19 00:00:00 -> 2021-08-19 23:55:00,163.00
231,2021-08-20 00:00:00 -> 2021-08-20 23:55:00,165.53
232,2021-08-21 00:00:00 -> 2021-08-21 23:55:00,163.53
233,2021-08-22 00:00:00 -> 2021-08-22 23:55:00,167.00
234,2021-08-23 00:00:00 -> 2021-08-23 23:55:00,161.00
235,2021-08-24 00:00:00 -> 2021-08-24 23:55:00,158.00
236,2021-08-25 00:00:00 -> 2021-08-25 23:55:00,158.00
237,2021-08-26 00:00:00 -> 2021-08-26 23:55:00,160.00
238,2021-08-27 00:00:00 -> 2021-08-27 23:55:00,159.46
239,2021-08-28 00:00:00 -> 2021-08-28 23:55:00,156.00
240,2021-08-29 00:00:00 -> 2021-08-29 23:55:00,156.00
241,2021-08-30 00:00:00 -> 2021-08-30 23:55:00,157.69
242,2021-08-31 00:00:00 -> 2021-08-31 23:55:00,157.00
243,2021-09-01 00:00:00 -> 2021-09-01 23:55:00,157.31
244,2021-09-02 00:00:00 -> 2021-09-02 23:55:00,156.00
245,2021-09-03 00:00:00 -> 2021-09-03 23:55:00,156.69
246,2021-09-04 00:00:00 -> 2021-09-04 23:55:00,157.00
247,2021-09-05 00:00:00 -> 2021-09-05 23:55:00,160.31
248,2021-09-06 00:00:00 -> 2021-09-06 23:55:00,158.00
249,2021-09-07 00:00:00 -> 2021-09-07 23:55:00,156.69
250,2021-09-08 00:00:00 -> 2021-09-08 23:55:00,157.00
251,2021-09-09 00:00:00 -> 2021-09-09 23:55:00,157.00
252,2021-09-10 00:00:00 -> 2021-09-10 23:55:00,155.31
253,2021-09-11 00:00:00 -> 2021-09-11 23:55:00,159.00
254,2021-09-12 00:00:00 -> 2021-09-12 23:55:00,160.00
255,2021-09-13 00:00:00 -> 2021-09-13 23:55:00,159.32
256,2021-09-14 00:00:00 -> 2021-09-14 23:55:00,159.00
257,2021-09-15 00:00:00 -> 2021-09-15 23:55:00,158.68
258,2021-09-16 00:00:00 -> 2021-09-16 23:55:00,159.00
259,2021-09-17 00:00:00 -> 2021-09-17 23:55:00,158.68
260,2021-09-18 00:00:00 -> 2021-09-18 23:55:00,162.00
261,2021-09-19 00:00:00 -> 2021-09-19 23:55:00,162.00
262,2021-09-20 00:00:00 -> 2021-09-20 23:55:00,159.68
263,2021-09-21 00:00:00 -> 2021-09-21 23:55:00,159.32
264,2021-09-22 00:00:00 -> 2021-09-22 23:55:00,163.32
265,2021-09-23 00:00:00 -> 2021-09-23 23:55:00,159.33
266,2021-09-24 00:00:00 -> 2021-09-24 23:55:00,159.00
267,2021-09-25 00:00:00 -> 2021-09-25 23:55:00,160.00
268,2021-09-26 00:00:00 -> 2021-09-26 23:55:00,160.33
269,2021-09-27 00:00:00 -> 2021-09-27 23:55:00,159.00
270,2021-09-28 00:00:00 -> 2021-09-28 23:55:00,162.00
271,2021-09-29 00:00:00 -> 2021-09-29 23:55:00,159.00
272,2021-09-30 00:00:00 -> 2021-09-30 23:55:00,157.00
273,2021-10-01 00:00:00 -> 2021-10-01 23:55:00,158.34
274,2021-10-02 00:00:00 -> 2021-10-02 23:55:00,161.16
275,2021-10-03 00:00:00 -> 2021-10-03 23:55:00,160.00
276,2021-10-04 00:00:00 -> 2021-10-04 23:55:00,158.16
277,2021-10-05 00:00:00 -> 2021-10-05 23:55:00,161.00
278,2021-10-06 00:00:00 -> 2021-10-06 23:55:00,161.84
279,2021-10-07 00:00:00 -> 2021-10-07 23:55:00,161.00
280,2021-10-08 00:00:00 -> 2021-10-08 23:55:00,160.99
281,2021-10-09 00:00:00 -> 2021-10-09 23:55:00,159.17
282,2021-10-10 00:00:00 -> 2021-10-10 23:55:00,160.17
283,2021-10-11 00:00:00 -> 2021-10-11 23:55:00,162.00
284,2021-10-12 00:00:00 -> 2021-10-12 23:55:00,162.83
285,2021-10-13 00:00:00 -> 2021-10-13 23:55:00,161.00
286,2021-10-14 00:00:00 -> 2021-10-14 23:55:00,162.17
287,2021-10-15 00:00:00 -> 2021-10-15 23:55:00,163.00
288,2021-10-16 00:00:00 -> 2021-10-16 23:55:00,161.83
289,2021-10-17 00:00:00 -> 2021-10-17 23:55:00,161.00
290,2021-10-18 00:00:00 -> 2021-10-18 23:55:00,161.17
291,2021-10-19 00:00:00 -> 2021-10-19 23:55:00,161.17
292,2021-10-20 00:00:00 -> 2021-10-20 23:55:00,162.18
293,2021-10-21 00:00:00 -> 2021-10-21 23:55:00,161.19
294,2021-10-22 00:00:00 -> 2021-10-22 23:55:00,162.00
295,2021-10-23 00:00:00 -> 2021-10-23 23:55:00,161.81
296,2021-10-24 00:00:00 -> 2021-10-24 23:55:00,160.81
297,2021-10-25 00:00:00 -> 2021-10-25 23:55:00,162.00
298,2021-10-26 00:00:00 -> 2021-10-26 23:55:00,162.19
299,2021-10-27 00:00:00 -> 2021-10-27 23:55:00,161.98
300,2021-10-28 00:00:00 -> 2021-10-28 23:55:00,164.79
301,2021-10-29 00:00:00 -> 2021-10-29 23:55:00,164.00
302,2021-10-30 00:00:00 -> 2021-10-30 23:55:00,163.79
303,2021-10-31 00:00:00 -> 2021-10-31 23:55:00,169.79
304,2021-11-01 00:00:00 -> 2021-11-01 23:55:00,162.00
305,2021-11-02 00:00:00 -> 2021-11-02 23:55:00,162.99
306,2021-11-03 00:00:00 -> 2021-11-03 23:55:00,165.78
307,2021-11-04 00:00:00 -> 2021-11-04 23:55:00,165.78
308,2021-11-05 00:00:00 -> 2021-11-05 23:55:00,165.78
309,2021-11-06 00:00:00 -> 2021-11-06 23:55:00,165.78
310,2021-11-07 00:00:00 -> 2021-11-07 23:55:00,162.00
311,2021-11-08 00:00:00 -> 2021-11-08 23:55:00,162.00
312,2021-11-09 00:00:00 -> 2021-11-09 23:55:00,161.22
313,2021-11-10 00:00:00 -> 2021-11-10 23:55:00,162.00
314,2021-11-11 00:00:00 -> 2021-11-11 23:55:00,162.78
315,2021-11-12 00:00:00 -> 2021-11-12 23:55:00,163.00
316,2021-11-13 00:00:00 -> 2021-11-13 23:55:00,162.00
317,2021-11-14 00:00:00 -> 2021-11-14 23:55:00,163.00
318,2021-11-15 00:00:00 -> 2021-11-15 23:55:00,162.00
319,2021-11-16 00:00:00 -> 2021-11-16 23:55:00,162.77
320,2021-11-17 00:00:00 -> 2021-11-17 23:55:00,162.77
321,2021-11-18 00:00:00 -> 2021-11-18 23:55:00,161.00
322,2021-11-19 00:00:00 -> 2021-11-19 23:55:00,160.99
323,2021-11-20 00:00:00 -> 2021-11-20 23:55:00,162.24
324,2021-11-21 00:00:00 -> 2021-11-21 23:55:00,163.00
325,2021-11-22 00:00:00 -> 2021-11-22 23:55:00,160.76
326,2021-11-23 00:00:00 -> 2021-11-23 23:55:00,161.00
327,2021-11-24 00:00:00 -> 2021-11-24 23:55:00,162.00
328,2021-11-25 00:00:00 -> 2021-11-25 23:55:00,161.61
329,2021-11-26 00:00:00 -> 2021-11-26 23:55:00,162.00
330,2021-11-27 00:00:00 -> 2021-11-27 23:55:00,162.00
331,2021-11-28 00:00:00 -> 2021-11-28 23:55:00,162.99
332,2021-11-29 00:00:00 -> 2021-11-29 23:55:00,165.00
333,2021-11-30 00:00:00 -> 2021-11-30 23:55:00,164.00
334,2021-12-01 00:00:00 -> 2021-12-01 23:55:00,163.00
335,2021-12-02 00:00:00 -> 2021-12-02 23:55:00,161.99
336,2021-12-03 00:00:00 -> 2021-12-03 23:55:00,162.55
337,2021-12-04 00:00:00 -> 2021-12-04 23:55:00,163.99
338,2021-12-05 00:00:00 -> 2021-12-05 23:55:00,162.00
339,2021-12-06 00:00:00 -> 2021-12-06 23:55:00,164.00
340,2021-12-07 00:00:00 -> 2021-12-07 23:55:00,164.27
341,2021-12-08 00:00:00 -> 2021-12-08 23:55:00,163.00
342,2021-12-09 00:00:00 -> 2021-12-09 23:55:00,162.46
343,2021-12-10 00:00:00 -> 2021-12-10 23:55:00,165.46
344,2021-12-11 00:00:00 -> 2021-12-11 23:55:00,163.00
345,2021-12-12 00:00:00 -> 2021-12-12 23:55:00,162.00
346,2021-12-13 00:00:00 -> 2021-12-13 23:55:00,162.46
347,2021-12-14 00:00:00 -> 2021-12-14 23:55:00,163.00
348,2021-12-15 00:00:00 -> 2021-12-15 23:55:00,163.00
349,2021-12-16 00:00:00 -> 2021-12-16 23:55:00,162.99
350,2021-12-17 00:00:00 -> 2021-12-17 23:55:00,162.48
351,2021-12-18 00:00:00 -> 2021-12-18 23:55:00,162.98
352,2021-12-19 00:00:00 -> 2021-12-19 23:55:00,163.00
353,2021-12-20 00:00:00 -> 2021-12-20 23:55:00,163.53
354,2021-12-21 00:00:00 -> 2021-12-21 23:55:00,163.53
355,2021-12-22 00:00:00 -> 2021-12-22 23:55:00,164.53
356,2021-12-23 00:00:00 -> 2021-12-23 23:55:00,163.54
357,2021-12-24 00:00:00 -> 2021-12-24 23:55:00,162.00
358,2021-12-25 00:00:00 -> 2021-12-25 23:55:00,162.00
359,2021-12-26 00:00:00 -> 2021-12-26 23:55:00,161.46
360,2021-12-27 00:00:00 -> 2021-12-27 23:55:00,162.00
361,2021-12-28 00:00:00 -> 2021-12-28 23:55:00,161.00
362,2021-12-29 00:00:00 -> 2021-12-29 23:55:00,161.00
363,2021-12-30 00:00:00 -> 2021-12-30 23:55:00,162.54
364,2021-12-31 00:00:00 -> 2021-12-31 23:55:00,162.00
365,2022-01-01 00:00:00 -> 2022-01-01 23:55:00,162.00
366,2022-01-02 00:00:00 -> 2022-01-02 23:55:00,162.00
367,2022-01-03 00:00:00 -> 2022-01-03 23:55:00,161.00
368,2022-01-04 00:00:00 -> 2022-01-04 23:55:00,161.56
369,2022-01-05 00:00:00 -> 2022-01-05 23:55:00,160.56
370,2022-01-06 00:00:00 -> 2022-01-06 23:55:00,162.00
371,2022-01-07 00:00:00 -> 2022-01-07 23:55:00,162.44
372,2022-01-08 00:00:00 -> 2022-01-08 23:55:00,162.44
373,2022-01-09 00:00:00 -> 2022-01-09 23:55:00,164.00
374,2022-01-10 00:00:00 -> 2022-01-10 23:55:00,162.57
375,2022-01-11 00:00:00 -> 2022-01-11 23:55:00,161.57
376,2022-01-12 00:00:00 -> 2022-01-12 23:55:00,162.57
377,2022-01-13 00:00:00 -> 2022-01-13 23:55:00,161.99
378,2022-01-14 00:00:00 -> 2022-01-14 23:55:00,162.00
379,2022-01-15 00:00:00 -> 2022-01-15 23:55:00,161.41
380,2022-01-16 00:00:00 -> 2022-01-16 23:55:00,160.41
381,2022-01-17 00:00:00 -> 2022-01-17 23:55:00,161.00
382,2022-01-18 00:00:00 -> 2022-01-18 23:55:00,161.41
383,2022-01-19 00:00:00 -> 2022-01-19 23:55:00,161.00
384,2022-01-20 00:00:00 -> 2022-01-20 23:55:00,162.41
385,2022-01-21 00:00:00 -> 2022-01-21 23:55:00,162.00
386,2022-01-22 00:00:00 -> 2022-01-22 23:55:00,162.59
387,2022-01-23 00:00:00 -> 2022-01-23 23:55:00,161.59
388,2022-01-24 00:00:00 -> 2022-01-24 23:55:00,161.60
389,2022-01-25 00:00:00 -> 2022-01-25 23:55:00,162.60
390,2022-01-26 00:00:00 -> 2022-01-26 23:55:00,162.00
391,2022-01-27 00:00:00 -> 2022-01-27 23:55:00,162.38
392,2022-01-28 00:00:00 -> 2022-01-28 23:55:00,162.38
393,2022-01-29 00:00:00 -> 2022-01-29 23:55:00,163.00
394,2022-01-30 00:00:00 -> 2022-01-30 23:55:00,162.00
395,2022-01-31 00:00:00 -> 2022-01-31 23:55:00,162.00
396,2022-02-01 00:00:00 -> 2022-02-01 23:55:00,162.63
397,2022-02-02 00:00:00 -> 2022-02-02 23:55:00,161.00
398,2022-02-03 00:00:00 -> 2022-02-03 23:55:00,162.69
